burned a hole in his pocket,to spend money quickly,146
burnt a hole in your pocket,to spend money quickly,146
burn a hole in her pocket,to spend money quickly,146
burns a hole in your pocket,to spend money quickly,146
burns a hole in his pocket,to spend money quickly,146
burned a hole in her pocket,to spend money quickly,146
burning a hole in his pocket,to spend money quickly,146
burnt a hole in their pocket,to spend money quickly,146
burned a hole in your pocket,to spend money quickly,146
burning a hole in my pocket,to spend money quickly,146
burn a hole in their pocket,to spend money quickly,146
burned a hole in their pocket,to spend money quickly,146
burned the midnight oil,to work late into the night,147
burnt the midnight oil,to work late into the night,147
burn the midnight oil,to work late into the night,147
burning the midnight oil,to work late into the night,147
burns the midnight oil,to work late into the night,147
bury the hatchet,when people who have had a disagreement decide to forget their quarrel and become friends again,148
buried the hatchet,when people who have had a disagreement decide to forget their quarrel and become friends again,148
buries the hatchet,when people who have had a disagreement decide to forget their quarrel and become friends again,148
burying the hatchet,when people who have had a disagreement decide to forget their quarrel and become friends again,148
bushman's holiday,a holiday where you spend doing same thing as you did at working days,149
butterflies in stomach,a feeling of being very nervous or frightened about something,150
button's one lip,to keep quite,151
by a hair's breadth,to only just manage escape from a danger,152
by the numbers,"done according to a plan that has been decided previously, without using your own imagination and ideas",153
cake not worth the candle,the advantages to be gained from doing something are not worth the effort involved,154
calculated risk,a risk taken with full knowledge of the dangers involved,155
called your bluff,"to make someone prove that what they are saying is true, or to make someone prove that they will really do what they say, because you do not believe them",156
calls her bluff,"to make someone prove that what they are saying is true, or to make someone prove that they will really do what they say, because you do not believe them",156
call my bluff,"to make someone prove that what they are saying is true, or to make someone prove that they will really do what they say, because you do not believe them",156
called my bluff,"to make someone prove that what they are saying is true, or to make someone prove that they will really do what they say, because you do not believe them",156
call your bluff,"to make someone prove that what they are saying is true, or to make someone prove that they will really do what they say, because you do not believe them",156
call his bluff,"to make someone prove that what they are saying is true, or to make someone prove that they will really do what they say, because you do not believe them",156
calling their bluff,"to make someone prove that what they are saying is true, or to make someone prove that they will really do what they say, because you do not believe them",156
called her bluff,"to make someone prove that what they are saying is true, or to make someone prove that they will really do what they say, because you do not believe them",156
called his bluff,"to make someone prove that what they are saying is true, or to make someone prove that they will really do what they say, because you do not believe them",156
call their bluff,"to make someone prove that what they are saying is true, or to make someone prove that they will really do what they say, because you do not believe them",156
calling your bluff,"to make someone prove that what they are saying is true, or to make someone prove that they will really do what they say, because you do not believe them",156
